0	0	1
1	0	3
2	1	4
3	2	3
4	4	5
5	2	7
6	3	8
7	4	9
8	5	10
9	6	7
10	8	9
11	10	11
12	6	12
13	7	13
14	8	14
15	9	15
16	10	16
17	11	17
18	13	14
19	15	16
20	12	18
21	13	19
22	14	20
23	15	21
24	16	22
25	17	23
26	18	19
27	20	21
28	22	23
29	18	24
30	19	25
31	20	26
32	21	27
33	22	28
34	23	29
35	25	26
36	27	28
37	24	30
38	25	31
39	26	32
40	27	33
41	28	34
42	29	35
43	30	31
44	32	33
45	34	35
46	30	36
47	31	37
48	32	38
49	33	39
50	34	40
51	35	41
52	37	38
53	39	40
54	36	42
55	37	43
56	38	44
57	39	45
58	40	46
59	41	47
60	42	43
61	44	45
62	46	47
63	43	48
64	44	49
65	45	50
66	46	51
67	48	49
68	50	51
69	49	52
70	50	53
71	52	53
